,tipo_prop,barrio,pais,lat,lon,precio_usd,piso,ambientes,sup_total,sup_cubierta,precio_x_m2_usd,subtes,bicis,comisarias,balcon,garage,lavadero,luminoso,subte_linea_d,parrilla,subte_linea_b,aire_acondicionado,piscina,subte_linea_a,terraza,placard,toilette,suite,subte_linea_h,sum,amenities,subte_linea_e,baulera,gimnasio,patio,lujoso,subte_linea_c,dependencias,vestidor,estrenar,villa_urquiza,apto_credito_hipotecario,barrio_norte,jardin,villa_crespo,hidromasaje,san_telmo,vista,sauna,losa_radiante,capital_federal,impecable,interwin,doble_circulacion
0,PH,Mataderos,Argentina,-34.6618237,-58.5088387,62000.0,,2.0,55.0,40.0,1127.2727272727273,0,0,851.9173136690833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,PH,Liniers,Argentina,-34.6477969,-58.5164244,95000.0,0.0,3.0,,,1466.7755874592851,0,0,1529.449066756329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,apartment,Belgrano,Argentina,-34.5598729,-58.443362,138000.0,,1.0,45.0,40.0,3066.6666666666665,0,0,566.1395338702266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,PH,Mataderos,Argentina,-34.6523561177,-58.5016239381,239000.0,3.0,4.0,140.0,98.0,1707.142857142857,0,0,1071.0060401057622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,apartment,Palermo,Argentina,-34.580503566,-58.4058744847,350000.0,,3.0,104.0,96.0,3365.3846153846152,0,4,868.2471247816627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,house,Puerto Madero,Argentina,-34.6177194,-58.3620561,70000.0,,,80.0,50.0,875.0,0,3,759.1444260038585,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,apartment,Balvanera,Argentina,-34.60967479999999,-58.3986588,240000.0,2.0,5.0,141.0,124.0,1702.127659574468,2,4,816.5612515001794,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16,apartment,Caballito,Argentina,-34.6222111,-58.43912829999999,110000.0,2.0,3.0,50.0,50.0,2200.0,1,0,1116.2878827981815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,apartment,Caballito,Argentina,-34.6209278,-58.44587360000001,222780.0,,3.0,81.0,75.0,2750.3703703703704,1,0,694.5026095716881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,apartment,Caballito,Argentina,-34.6287865,-58.42778320000001,108000.0,,3.0,70.0,67.0,1542.857142857143,1,1,317.53349210408885,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
